HandRank,Phase,WinRate
ONE_PAIR,Flop,0.5954
ONE_PAIR,Turn,0.5117
ONE_PAIR,River,0.4282
TWO_PAIR,Flop,0.7622
TWO_PAIR,Turn,0.7158
TWO_PAIR,River,0.6725
THREE_OF_A_KIND,Flop,0.8856
THREE_OF_A_KIND,Turn,0.8202
THREE_OF_A_KIND,River,0.7492
STRAIGHT,Flop,0.9138
STRAIGHT,Turn,0.8778
STRAIGHT,River,0.8587
FLUSH,Flop,0.9455
FLUSH,Turn,0.9044
FLUSH,River,0.8641
FULL_HOUSE,Flop,0.9682
FULL_HOUSE,Turn,0.9171
FULL_HOUSE,River,0.9337
FOUR_OF_A_KIND,Flop,0.9997
FOUR_OF_A_KIND,Turn,0.9813
FOUR_OF_A_KIND,River,0.9360
STRAIGHT_FLUSH,Flop,0.9993
STRAIGHT_FLUSH,Turn,0.9952
STRAIGHT_FLUSH,River,0.9749