Card1,Card2,Suited,WinRate
A,A,False,0.8543
K,K,False,0.8193
Q,Q,False,0.8022
J,J,False,0.7781
10,10,False,0.7512
9,9,False,0.7202
8,8,False,0.6926
A,K,True,0.6774
A,Q,True,0.6621
7,7,False,0.6579
A,J,True,0.6546
A,K,False,0.6530
A,10,True,0.6498
A,Q,False,0.6415
A,J,False,0.6408
6,6,False,0.6324
K,Q,True,0.6309
A,10,False,0.6288
K,J,True,0.6264
A,9,True,0.6248
K,10,True,0.6199
A,8,True,0.6175
K,Q,False,0.6121
A,7,True,0.6065
5,5,False,0.6055
A,6,True,0.6042
A,5,True,0.6041
A,9,False,0.6038
Q,J,True,0.6034
K,J,False,0.6009
K,9,True,0.5994
K,10,False,0.5974
A,8,False,0.5967
Q,10,True,0.5934
A,7,False,0.5908
A,4,True,0.5884
A,3,True,0.5813
K,8,True,0.5799
Q,10,False,0.5776
A,2,True,0.5772
A,5,False,0.5771
Q,9,True,0.5768
K,7,True,0.5757
A,6,False,0.5756
K,9,False,0.5750
Q,J,False,0.5750
J,10,True,0.5738
K,6,True,0.5688
A,4,False,0.5680
4,4,False,0.5641
K,8,False,0.5604
K,5,True,0.5579
A,3,False,0.5576
Q,8,True,0.5573
K,7,False,0.5560
J,9,True,0.5525
Q,9,False,0.5521
J,10,False,0.5480
10,9,True,0.5429
A,2,False,0.5425
Q,6,True,0.5423
K,4,True,0.5423
Q,8,False,0.5409
Q,7,True,0.5407
K,3,True,0.5398
K,6,False,0.5396
J,8,True,0.5393
K,5,False,0.5373
3,3,False,0.5338
J,7,True,0.5333
K,2,True,0.5321
J,9,False,0.5314
K,4,False,0.5297
Q,5,True,0.5265
10,8,True,0.5223
Q,7,False,0.5186
K,3,False,0.5167
Q,4,True,0.5162
10,9,False,0.5150
J,8,False,0.5123
10,7,True,0.5086
K,2,False,0.5083
Q,6,False,0.5080
Q,3,True,0.5079
J,6,True,0.5072
Q,5,False,0.5063
9,8,True,0.5026
J,7,False,0.4988
Q,2,True,0.4987
10,8,False,0.4982
2,2,False,0.4980
J,5,True,0.4955
J,4,True,0.4944
9,7,True,0.4912
10,6,True,0.4905
Q,4,False,0.4841
Q,3,False,0.4828
9,8,False,0.4803
8,7,True,0.4798
9,6,True,0.4797
Q,2,False,0.4762
J,6,False,0.4755
J,3,True,0.4748
10,7,False,0.4748
J,2,True,0.4739
J,5,False,0.4726
10,5,True,0.4679
J,4,False,0.4637
9,5,True,0.4596
10,4,True,0.4581
8,6,True,0.4577
10,6,False,0.4572
7,6,True,0.4568
9,7,False,0.4562
10,3,True,0.4538
8,7,False,0.4488
J,3,False,0.4487
8,5,True,0.4486
9,6,False,0.4479
10,2,True,0.4459
10,5,False,0.4455
9,4,True,0.4415
J,2,False,0.4383
9,2,True,0.4321
6,5,True,0.4319
7,5,True,0.4317
9,3,True,0.4313
8,6,False,0.4297
10,4,False,0.4284
7,4,True,0.4281
10,3,False,0.4272
7,6,False,0.4264
9,5,False,0.4248
8,4,True,0.4239
10,2,False,0.4198
8,5,False,0.4132
5,4,True,0.4123
8,3,True,0.4111
6,4,True,0.4109
7,5,False,0.4043
9,3,False,0.4034
9,4,False,0.4019
8,2,True,0.4008
7,3,True,0.3999
6,5,False,0.3993
5,3,True,0.3961
6,3,True,0.3948
8,4,False,0.3942
4,3,True,0.3902
9,2,False,0.3900
7,4,False,0.3894
7,2,True,0.3830
5,2,True,0.3811
6,4,False,0.3795
5,4,False,0.3780
6,2,True,0.3777
4,2,True,0.3717
8,2,False,0.3694
8,3,False,0.3689
5,3,False,0.3650
3,2,True,0.3624
6,3,False,0.3605
7,3,False,0.3589
7,2,False,0.3465
4,3,False,0.3459
5,2,False,0.3382
6,2,False,0.3367
4,2,False,0.3310
3,2,False,0.3251